TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,DATETIME_PRECISION,IS_NULLABLE
GoTicketsAdManagementBronze,AdGroupForPerformerAttributes,AttributeSourceType,6,varchar,100,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,AdGroupForPerformerAttributes,GoTicketsPerformerId,7,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,AdGroupForPerformerAttributes,IsMarketingDefined,8,bit,NULL,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,AdGroupForPerformerAttributes,PerformerAliasId,9,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,AdGroupForPerformerAttributes,UpstreamUpdatedTimestampUtc,10,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,AdGroupForPerformerAttributes,CreatedTimestampUtc,11,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,AdGroupForPerformerAttributes,UpdatedTimestampUtc,12,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,AdGroupForVenueAttributes,AdGroupId,1,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,AdGroupForVenueAttributes,CampaignId,2,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,AdGroupForVenueAttributes,AccountId,3,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,AdGroupForVenueAttributes,AdGroupExportStrategyType,4,varchar,100,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,AdGroupForVenueAttributes,AdNetwork,5,varchar,20,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,AdGroupForVenueAttributes,AttributeSourceType,6,varchar,100,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,AdGroupForVenueAttributes,GoTicketsVenueId,7,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,AdGroupForVenueAttributes,IsMarketingDefined,8,bit,NULL,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,AdGroupForVenueAttributes,VenueAliasId,9,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,AdGroupForVenueAttributes,UpstreamUpdatedTimestampUtc,10,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,AdGroupForVenueAttributes,CreatedTimestampUtc,11,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,AdGroupForVenueAttributes,UpdatedTimestampUtc,12,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,CampaignPerEventClusterAttributes,CampaignId,1,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,CampaignPerEventClusterAttributes,AccountId,2,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,CampaignPerEventClusterAttributes,AdNetwork,3,varchar,20,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,CampaignPerEventClusterAttributes,AttributeSourceType,4,varchar,100,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,CampaignPerEventClusterAttributes,GoTicketsPerformerId,5,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,CampaignPerEventClusterAttributes,GoTicketsVenueId,6,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,CampaignPerEventClusterAttributes,IsMarketingDefined,7,bit,NULL,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,CampaignPerEventClusterAttributes,VenueAliasId,8,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,CampaignPerEventClusterAttributes,UpstreamUpdatedTimestampUtc,9,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,CampaignPerEventClusterAttributes,CreatedTimestampUtc,10,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,CampaignPerEventClusterAttributes,UpdatedTimestampUtc,11,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,CampaignPerPerformerAttributes,CampaignId,1,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,CampaignPerPerformerAttributes,AccountId,2,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,CampaignPerPerformerAttributes,AdNetwork,3,varchar,20,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,CampaignPerPerformerAttributes,AttributeSourceType,4,varchar,100,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,CampaignPerPerformerAttributes,GoTicketsPerformerId,5,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,CampaignPerPerformerAttributes,IsMarketingDefined,6,bit,NULL,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,CampaignPerPerformerAttributes,UpstreamUpdatedTimestampUtc,7,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,CampaignPerPerformerAttributes,CreatedTimestampUtc,8,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,CampaignPerPerformerAttributes,UpdatedTimestampUtc,9,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,CampaignPerVenueAttributes,CampaignId,1,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,CampaignPerVenueAttributes,AccountId,2,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,CampaignPerVenueAttributes,AdNetwork,3,varchar,20,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,CampaignPerVenueAttributes,AttributeSourceType,4,varchar,100,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,CampaignPerVenueAttributes,GoTicketsVenueId,5,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,CampaignPerVenueAttributes,IsMarketingDefined,6,bit,NULL,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,CampaignPerVenueAttributes,UpstreamUpdatedTimestampUtc,7,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,CampaignPerVenueAttributes,CreatedTimestampUtc,8,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,CampaignPerVenueAttributes,UpdatedTimestampUtc,9,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,GoogleAdsAdGroupForEventClusterAttributes,AdGroupId,1,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,GoogleAdsAdGroupForEventClusterAttributes,CampaignId,2,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,GoogleAdsAdGroupForEventClusterAttributes,AccountId,3,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,GoogleAdsAdGroupForEventClusterAttributes,AdGroupExportStrategyType,4,varchar,200,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,GoogleAdsAdGroupForEventClusterAttributes,AttributeSourceType,5,varchar,200,NULL,NULL,NULL,YES
GoTicketsAdManagementBronze,GoogleAdsAdGroupForEventClusterAttributes,GoTicketsPerformerId,6,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,GoogleAdsAdGroupForEventClusterAttributes,GoTicketsVenueId,7,bigint,NULL,19,0,NULL,NO
