TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE
GoTicketsAdManagementBronze,MicrosoftAdsAdGroupForVenueAttributes,BASE TABLE
GoTicketsReportingOrderEstimate,PerformerOrderEstimate,BASE TABLE
GoTicketsAdManagementBronze,GoogleAdsCampaignPerEventClusterAttributes,BASE TABLE
GoTicketsAdManagementBronze,MicrosoftAdsCampaignPerVenueAttributes,BASE TABLE
GoTicketsAdManagementBronze,GoogleAdsAdGroupForPerformerAttributes,BASE TABLE
GoTicketsAdManagementBronze,MicrosoftAdsCampaignPerEventClusterAttributes,BASE TABLE
GoTicketsEntityMap,MicrosoftAdsCampaignMap,BASE TABLE
GoTicketsCoreEntity,Order,BASE TABLE
MicrosoftAdsBronze,Campaign,BASE TABLE
MicrosoftAdsBronze,CampaignAdditiveMetric,BASE TABLE
GoTicketsEntityMap,GoogleAdsCampaignMap,BASE TABLE
MicrosoftAdsBronze,AdGroupAdditiveMetric,BASE TABLE
GoTicketsEntityMap,MicrosoftAdsAdGroupMap,BASE TABLE
GoTicketsWebsiteBronze,OrderAttribution,BASE TABLE
EventTicketModelBronze,EventCluster,BASE TABLE
MicrosoftAdsBronze,Account,BASE TABLE
GoTicketsEntityMap,GoogleAdsAdGroupMap,BASE TABLE
GoTicketsEventSummary,EventSummary,BASE TABLE
GoTicketsPerformanceMetric,MicrosoftAdsAdGroupPerformanceMetric,BASE TABLE
EventTicketModelBronze,Onsale,BASE TABLE
GoTicketsPerformanceMetric,GoogleAdsCampaignPerformanceMetric,BASE TABLE
GoTicketsPerformanceMetric,MicrosoftAdsCampaignPerformanceMetric,BASE TABLE
GoTicketsPerformanceMetric,GoogleAdsAdGroupPerformanceMetric,BASE TABLE
GoTicketsOrderMetric,EventOrderMetric,BASE TABLE
GoTicketsAdManagementBronze,VenueAlias,BASE TABLE
MicrosoftAdsBronze,CampaignDeviceBidModifier,BASE TABLE
GoTicketsAdManagementBronze,PerformerAliasExportSetting,BASE TABLE
MicrosoftAdsBronze,AdGroup,BASE TABLE
GoTicketsAdManagementBronze,VenueAliasKeywordValue,BASE TABLE
GoTicketsAdManagementBronze,PerformerAlias,BASE TABLE
GoTicketsAdManagementBronze,PerformerAliasKeywordValue,BASE TABLE
MicrosoftAdsBronze,AdGroupDeviceBidModifier,BASE TABLE
GoTicketsReportingAdManagement,PerformerAliasSummary,BASE TABLE
GoTicketsReportingAdManagement,VenueAliasSummary,BASE TABLE
GoogleAdsBronze,CampaignAdditiveMetric,BASE TABLE
MicrosoftAdsBronze,CampaignMaxConversions,BASE TABLE
MicrosoftAdsBronze,CampaignTargetCpa,BASE TABLE
GoogleAdsBronze,AdGroupKeywordAdditiveMetric,BASE TABLE
GoogleAdsBronze,AdGroupAdditiveMetric,BASE TABLE
GoogleAdsBronze,CampaignNonAdditiveMetric,BASE TABLE
GoTicketsExchangeMetric,ClosePeerExchangeMetric,BASE TABLE
AdExperimentBronze,ExperimentArmCampaign,BASE TABLE
GoogleAdsBronze,AdGroupSearchTermAdditiveMetric,BASE TABLE
AdExperimentBronze,ExperimentArm,BASE TABLE
GoogleAdsBronze,AdGroupNonAdditiveMetric,BASE TABLE
AdExperimentBronze,ExperimentLabel,BASE TABLE
GoTicketsBronze,Venue,BASE TABLE
GoTicketsBronze,EventPerformer,BASE TABLE
