schema_name,table_name,column_id,column_name,data_type,max_length,precision,scale,is_nullable,pk_name,pk_ordinal,fk_name,fk_ordinal,ref_schema_name,ref_table_name,ref_column_name
Archive_Tix,dbo_VividOrder,8,Wholesale,decimal,9,18,4,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividOrder,9,CustomerPrice,decimal,9,18,4,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividOrder,10,ServiceCharge,decimal,9,18,4,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividOrder,11,OrderTotal,decimal,9,18,4,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividOrder,12,GrossCommission,decimal,9,18,4,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividOrder,13,NetCommission,decimal,9,18,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividOrder,14,FrontEndMarkup,decimal,9,18,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividOrder,15,BackEndMarkup,decimal,9,18,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividOrder,16,TotalMarkup,decimal,9,18,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividOrder,17,ShipCity,varchar,200,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividOrder,18,ShipState,varchar,100,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividOrder,19,ShipZip,varchar,100,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividOrder,20,ShipCountry,varchar,100,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividOrder,21,Phone,varchar,50,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividOrder,22,Mobile,varchar,50,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividOrder,23,Status,varchar,100,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividOrder,24,Account,varchar,200,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividOrder,25,PaymentId,int,4,10,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividOrder,26,PaymentDate,date,3,10,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividOrder,27,Tag,varchar,800,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividOrder,28,Zone,bit,1,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividOrder,29,Section,varchar,50,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividOrder,30,Row,varchar,50,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividOrder,31,AdWordsAdId,bigint,8,19,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividOrder,32,BingAdsAdId,bigint,8,19,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
